_id,model_year,make,model,vehicle_class,motor_(kw),engine_size_(l),cylinders,transmission,fuel_type_1,combined_le/100_km,range_1_(km),recharge_time_(h),fuel_type_2,city_(l/100_km),highway_(l/100_km),combined_(l/100_km),range_2_(km),co2_emissions_(g/km),co2_rating,smog_rating,display_name
3240,2018,Chrysler,Pacifica Hybrid Minivan 3.6L + 89 kW 6 Cyl Automatic,Minivan,89,3.6,6,AV,B/X*,2.8 ([24.9 kWh + 0.0 L]/100 km),53,2,X,7.3,7.2,7.3,858,66,10,7,2018 Chrysler Pacifica Hybrid Minivan 3.6L + 89 kW 6 Cyl Automatic
3241,2018,Ford,Fusion Energi Mid-size 2.0L + 35 kW 4 Cyl Automatic,Mid-size,35,2.0,4,AV,B/X*,2.4 ([21.5 kWh + 0.0 L]/100 km),35,2.5,X,5.5,5.7,5.6,947,70,10,7,2018 Ford Fusion Energi Mid-size 2.0L + 35 kW 4 Cyl Automatic
3242,2018,Honda,Clarity Plug-in Hybrid Mid-size 1.5L + 135 kW 4 Cyl Automatic,Mid-size,135,1.5,4,AV,B/X*,2.1 ([19.0 kWh + 0.0 L]/100 km),77,2.5,X,5.3,5.9,5.6,475,36,10,8,2018 Honda Clarity Plug-in Hybrid Mid-size 1.5L + 135 kW 4 Cyl Automatic
3243,2018,Hyundai,IONIQ Electric Plus Mid-size 1.6L + 45 kW 4 Cyl Auto-Manual 6-Gear,Mid-size,45,1.6,4,AM6,B/X*,2.0 ([17.7 kWh + 0.0 L]/100 km),47,2.3,X,4.4,4.6,4.5,961,46,10,7,2018 Hyundai IONIQ Electric Plus Mid-size 1.6L + 45 kW 4 Cyl Auto-Manual 6-Gear
3244,2018,Karma,Revero Subcompact 2.0L + 300 kW 4 Cyl Automatic 1-Gear,Subcompact,300,2.0,4,A1,B,3.9 (34.7 kWh/100 km),60,3.75,Z,11.8,11.2,11.5,328,94,10,1,2018 Karma Revero Subcompact 2.0L + 300 kW 4 Cyl Automatic 1-Gear
3245,2018,Kia,Optima Plug-in Hybrid Mid-size 2.0L + 50 kW 4 Cyl Auto-Manual 6-Gear,Mid-size,50,2.0,4,AM6,B/X*,2.3 ([20.3 kWh + 0.0 L]/100 km),47,2.7,X,6.2,5.5,5.9,935,60,10,7,2018 Kia Optima Plug-in Hybrid Mid-size 2.0L + 50 kW 4 Cyl Auto-Manual 6-Gear
3246,2018,Mercedes-Benz,GLC 350e 4MATIC Sport utility vehicle: Small 2.0L + 85 kW 4 Cyl Automatic 7-Gear,Sport utility vehicle: Small,85,2.0,4,A7,B/Z*,4.2 ([36.5 kWh + 0.0 L]/100 km),21,1.9,Z,9.8,8.6,9.3,541,146,9,7,2018 Mercedes-Benz GLC 350e 4MATIC Sport utility vehicle: Small 2.0L + 85 kW 4 Cyl Automatic 7-Gear
3247,2018,Mercedes-Benz,GLE 550e 4MATIC Sport utility vehicle: Standard 3.0L + 85 kW 6 Cyl Automatic 7-Gear,Sport utility vehicle: Standard,85,3.0,6,AS7,B/Z,5.5 ([42.6 kWh + 0.8 L]/100 km),19,1.9,Z,11.8,10.3,11.1,719,184,7,6,2018 Mercedes-Benz GLE 550e 4MATIC Sport utility vehicle: Standard 3.0L + 85 kW 6 Cyl Automatic 7-Gear
3248,2018,MINI,Cooper SE Countryman ALL4 Mid-size 1.5L + 65 kW 3 Cyl Automatic 6-Gear,Mid-size,65,1.5,3,AS6,B/Z*,3.6 ([31.4 kWh + 0.0 L]/100 km),19,3,Z,8.4,8.8,8.6,420,139,9,3,2018 MINI Cooper SE Countryman ALL4 Mid-size 1.5L + 65 kW 3 Cyl Automatic 6-Gear
3249,2018,Mitsubishi,Outlander PHEV AWD Sport utility vehicle: Small 2.0L + 60 kW 4 Cyl Automatic 1-Gear,Sport utility vehicle: Small,60,2.0,4,A1,B/X*,3.2 ([27.7 kWh + 0.0 L]/100 km),35,3.5,X,9.4,9.0,9.2,463,108,10,7,2018 Mitsubishi Outlander PHEV AWD Sport utility vehicle: Small 2.0L + 60 kW 4 Cyl Automatic 1-Gear
3250,2018,Porsche,Cayenne S E-Hybrid Sport utility vehicle: Standard 3.0L + 71 kW 6 Cyl Auto-Manual 8-Gear,Sport utility vehicle: Standard,71,3.0,6,AM8,B,5.1 (44.2 kWh/100 km),23,3,Z,11.3,9.8,10.6,768,160,8,3,2018 Porsche Cayenne S E-Hybrid Sport utility vehicle: Standard 3.0L + 71 kW 6 Cyl Auto-Manual 8-Gear
3251,2018,Toyota,Prius Prime Mid-size 1.8L + 71 kW 4 Cyl Automatic,Mid-size,71,1.8,4,AV,B/X*,1.8 ([15.8 kWh + 0.0 L]/100 km),40,2,X,4.3,4.4,4.3,995,49,10,7,2018 Toyota Prius Prime Mid-size 1.8L + 71 kW 4 Cyl Automatic
3252,2018,Volvo,S90 T8 AWD Mid-size 2.0L + 65 kW 4 Cyl Automatic 8-Gear,Mid-size,65,2.0,4,AS8,B/Z*,3.2 ([27.7 kWh + 0.0 L]/100 km),34,3,Z,8.9,7.1,8.1,621,100,10,7,2018 Volvo S90 T8 AWD Mid-size 2.0L + 65 kW 4 Cyl Automatic 8-Gear
3253,2018,Volvo,XC60 T8 AWD Sport utility vehicle: Small 2.0L + 65 kW 4 Cyl Automatic 8-Gear,Sport utility vehicle: Small,65,2.0,4,AS8,B/Z*,4.0 ([34.9 kWh + 0.0 L]/100 km),27,3,Z,10.1,8.5,9.4,534,133,9,7,2018 Volvo XC60 T8 AWD Sport utility vehicle: Small 2.0L + 65 kW 4 Cyl Automatic 8-Gear
3254,2018,Volvo,XC90 T8 AWD Sport utility vehicle: Standard 2.0L + 65 kW 4 Cyl Automatic 8-Gear,Sport utility vehicle: Standard,65,2.0,4,AS8,B/Z*,3.9 ([34.4 kWh + 0.0 L]/100 km),27,3,Z,9.6,8.6,9.2,547,130,9,7,2018 Volvo XC90 T8 AWD Sport utility vehicle: Standard 2.0L + 65 kW 4 Cyl Automatic 8-Gear
3255,2019,BMW,530e Compact 2.0L + 83 kW 4 Cyl Automatic 8-Gear,Compact,83,2.0,4,AS8,B/Z*,3.3 ([28.5 kWh + 0.0 L]/100 km),26,2,Z,8.6,7.7,8.2,560,120,10,7,2019 BMW 530e Compact 2.0L + 83 kW 4 Cyl Automatic 8-Gear
3256,2019,BMW,530e xDrive Compact 2.0L + 83 kW 4 Cyl Automatic 8-Gear,Compact,83,2.0,4,AS8,B/Z*,3.5 ([30.2 kWh + 0.0 L]/100 km),24,2,Z,8.8,7.7,8.3,554,124,10,7,2019 BMW 530e xDrive Compact 2.0L + 83 kW 4 Cyl Automatic 8-Gear
3257,2019,BMW,740e xDrive Full-size 2.0L + 83 kW 4 Cyl Automatic 8-Gear,Full-size,83,2.0,4,AS8,B/Z*,3.6 ([32.1 kWh + 0.0 L]/100 km),23,3,Z,9.5,8.0,8.8,525,133,9,3,2019 BMW 740e xDrive Full-size 2.0L + 83 kW 4 Cyl Automatic 8-Gear
3258,2019,BMW,i3 REx (120 Ah) Subcompact 0.6L + 125 kW 2 Cyl Automatic 1-Gear,Subcompact,125,0.6,2,A1,B,2.4 (19.9 kWh/100 km),203,7,Z,7.8,7.5,7.7,116,14,10,7,2019 BMW i3 REx (120 Ah) Subcompact 0.6L + 125 kW 2 Cyl Automatic 1-Gear
3259,2019,BMW,i3s REx (120 Ah) Subcompact 0.6L + 135 kW 2 Cyl Automatic 1-Gear,Subcompact,135,0.6,2,A1,B,2.4 (19.9 kWh/100 km),203,7,Z,7.8,7.5,7.7,116,14,10,7,2019 BMW i3s REx (120 Ah) Subcompact 0.6L + 135 kW 2 Cyl Automatic 1-Gear
3260,2019,BMW,i8 Coupe Subcompact 1.5L + 105 kW 3 Cyl Automatic 6-Gear,Subcompact,105,1.5,3,AS6,B/Z*,3.4 ([30.6 kWh + 0.0 L]/100 km),29,3,Z,9.2,8.0,8.7,488,118,10,3,2019 BMW i8 Coupe Subcompact 1.5L + 105 kW 3 Cyl Automatic 6-Gear
3261,2019,BMW,i8 Roadster Two-seater 1.5L + 105 kW 3 Cyl Automatic 6-Gear,Two-seater,105,1.5,3,AS6,B/Z*,3.4 ([30.6 kWh + 0.0 L]/100 km),29,3,Z,9.2,8.0,8.7,488,118,10,3,2019 BMW i8 Roadster Two-seater 1.5L + 105 kW 3 Cyl Automatic 6-Gear
3262,2019,Chevrolet,Volt Compact 1.5L + 111 kW 4 Cyl Automatic,Compact,111,1.5,4,AV,B,2.2 (19.5 kWh/100 km),85,4.5,X,5.5,5.6,5.6,591,32,10,7,2019 Chevrolet Volt Compact 1.5L + 111 kW 4 Cyl Automatic
3263,2019,Chrysler,Pacifica Hybrid Minivan 3.6L + 89 kW 6 Cyl Automatic,Minivan,89,3.6,6,AV,B/X*,2.9 ([25.8 kWh + 0.0 L]/100 km),51,2,X,8.0,7.9,8.0,784,74,10,7,2019 Chrysler Pacifica Hybrid Minivan 3.6L + 89 kW 6 Cyl Automatic
3264,2019,Ford,Fusion Energi Mid-size 2.0L + 35 kW 4 Cyl Automatic,Mid-size,35,2.0,4,AV,B/X*,2.3 ([20.5 kWh + 0.0 L]/100 km),42,2.6,X,5.5,5.8,5.6,940,61,10,7,2019 Ford Fusion Energi Mid-size 2.0L + 35 kW 4 Cyl Automatic
3265,2019,Honda,Clarity Plug-in Hybrid Mid-size 1.5L + 135 kW 4 Cyl Automatic,Mid-size,135,1.5,4,AV,B/X*,2.1 ([19.0 kWh + 0.0 L]/100 km),77,2.5,X,5.3,5.9,5.6,475,36,10,8,2019 Honda Clarity Plug-in Hybrid Mid-size 1.5L + 135 kW 4 Cyl Automatic
3266,2019,Hyundai,IONIQ Electric Plus Mid-size 1.6L + 45 kW 4 Cyl Auto-Manual 6-Gear,Mid-size,45,1.6,4,AM6,B/X*,2.0 ([17.7 kWh + 0.0 L]/100 km),47,2.3,X,4.4,4.6,4.5,961,46,10,7,2019 Hyundai IONIQ Electric Plus Mid-size 1.6L + 45 kW 4 Cyl Auto-Manual 6-Gear
3267,2019,Hyundai,Sonata Plug-in Hybrid Mid-size 2.0L + 50 kW 4 Cyl Auto-Manual 6-Gear,Mid-size,50,2.0,4,AM6,B/X*,2.4 ([20.9 kWh + 0.0 L]/100 km),45,2.7,X,6.3,5.6,6.0,925,62,10,7,2019 Hyundai Sonata Plug-in Hybrid Mid-size 2.0L + 50 kW 4 Cyl Auto-Manual 6-Gear
3268,2019,Karma,Revero Subcompact 2.0L + 300 kW 4 Cyl Automatic 1-Gear,Subcompact,300,2.0,4,A1,B,3.9 (34.7 kWh/100 km),60,3.75,Z,11.8,11.2,11.5,328,94,10,1,2019 Karma Revero Subcompact 2.0L + 300 kW 4 Cyl Automatic 1-Gear
3269,2019,Kia,Niro Plug-in Hybrid Station wagon: Small 1.6L + 45 kW 4 Cyl Auto-Manual 6-Gear,Station wagon: Small,45,1.6,4,AM6,B/X*,2.2 ([19.7 kWh + 0.0 L]/100 km),42,2.25,X,4.9,5.3,5.1,853,56,10,7,2019 Kia Niro Plug-in Hybrid Station wagon: Small 1.6L + 45 kW 4 Cyl Auto-Manual 6-Gear
3270,2019,Kia,Optima Plug-in Hybrid Mid-size 2.0L + 50 kW 4 Cyl Auto-Manual 6-Gear,Mid-size,50,2.0,4,AM6,B/X*,2.3 ([20.3 kWh + 0.0 L]/100 km),47,2.7,X,6.2,5.5,5.9,937,60,10,7,2019 Kia Optima Plug-in Hybrid Mid-size 2.0L + 50 kW 4 Cyl Auto-Manual 6-Gear
3271,2019,Mercedes-Benz,GLC 350e 4MATIC Sport utility vehicle: Small 2.0L + 85 kW 4 Cyl Automatic 7-Gear,Sport utility vehicle: Small,85,2.0,4,A7,B/Z*,4.2 ([36.5 kWh + 0.0 L]/100 km),21,1.9,Z,9.8,8.6,9.3,541,146,9,7,2019 Mercedes-Benz GLC 350e 4MATIC Sport utility vehicle: Small 2.0L + 85 kW 4 Cyl Automatic 7-Gear
3272,2019,MINI,Cooper SE Countryman ALL4 Mid-size 1.5L + 65 kW 3 Cyl Automatic 6-Gear,Mid-size,65,1.5,3,AS6,B/Z*,3.6 ([31.4 kWh + 0.0 L]/100 km),19,3,Z,8.4,8.8,8.6,420,139,9,3,2019 MINI Cooper SE Countryman ALL4 Mid-size 1.5L + 65 kW 3 Cyl Automatic 6-Gear
3273,2019,Mitsubishi,Outlander PHEV AWD Sport utility vehicle: Small 2.0L + 60 kW 4 Cyl Automatic 1-Gear,Sport utility vehicle: Small,60,2.0,4,A1,B/X*,3.2 ([27.7 kWh + 0.0 L]/100 km),35,3.5,X,9.4,9.0,9.2,463,108,10,7,2019 Mitsubishi Outlander PHEV AWD Sport utility vehicle: Small 2.0L + 60 kW 4 Cyl Automatic 1-Gear
3274,2019,Porsche,Cayenne E-Hybrid Sport utility vehicle: Standard 3.0L + 99 kW 6 Cyl Automatic 8-Gear,Sport utility vehicle: Standard,99,3.0,6,AS8,B,5.1 (44.8 kWh/100 km),21,3,Z,11.8,10.5,11.2,669,177,7,3,2019 Porsche Cayenne E-Hybrid Sport utility vehicle: Standard 3.0L + 99 kW 6 Cyl Automatic 8-Gear
3275,2019,Porsche,Panamera 4 E-Hybrid Full-size 2.9L + 70 kW 6 Cyl Auto-Manual 8-Gear,Full-size,70,2.9,6,AM8,B,4.6 (40.3 kWh/100 km),23,3,Z,11.1,9.7,10.5,768,158,8,5,2019 Porsche Panamera 4 E-Hybrid Full-size 2.9L + 70 kW 6 Cyl Auto-Manual 8-Gear
3276,2019,Porsche,Panamera Turbo S E-Hybrid Full-size 4.0L + 70 kW 8 Cyl Auto-Manual 8-Gear,Full-size,70,4.0,8,AM8,B,4.9 (41.0 kWh/100 km),23,3,Z,12.3,10.6,11.5,695,180,7,3,2019 Porsche Panamera Turbo S E-Hybrid Full-size 4.0L + 70 kW 8 Cyl Auto-Manual 8-Gear
3277,2019,Toyota,Prius Prime Mid-size 1.8L + 71 kW 4 Cyl Automatic,Mid-size,71,1.8,4,AV,B/X*,1.8 ([15.8 kWh + 0.0 L]/100 km),40,2,X,4.3,4.4,4.3,995,49,10,7,2019 Toyota Prius Prime Mid-size 1.8L + 71 kW 4 Cyl Automatic
3278,2019,Volvo,S90 T8 AWD Mid-size 2.0L + 65 kW 4 Cyl Automatic 8-Gear,Mid-size,65,2.0,4,AS8,B/Z*,3.2 ([27.7 kWh + 0.0 L]/100 km),34,3,Z,8.9,7.1,8.1,753,100,10,7,2019 Volvo S90 T8 AWD Mid-size 2.0L + 65 kW 4 Cyl Automatic 8-Gear
3279,2019,Volvo,XC60 T8 AWD Sport utility vehicle: Small 2.0L + 65 kW 4 Cyl Automatic 8-Gear,Sport utility vehicle: Small,65,2.0,4,AS8,B/Z*,3.8 ([34.0 kWh + 0.0 L]/100 km),27,3,Z,9.5,8.5,9.0,779,128,9,7,2019 Volvo XC60 T8 AWD Sport utility vehicle: Small 2.0L + 65 kW 4 Cyl Automatic 8-Gear
3280,2019,Volvo,XC90 T8 AWD Sport utility vehicle: Standard 2.0L + 65 kW 4 Cyl Automatic 8-Gear,Sport utility vehicle: Standard,65,2.0,4,AS8,B/Z*,3.9 ([34.3 kWh + 0.0 L]/100 km),27,3,Z,9.8,8.7,9.3,756,132,9,7,2019 Volvo XC90 T8 AWD Sport utility vehicle: Standard 2.0L + 65 kW 4 Cyl Automatic 8-Gear
3281,2020,Audi,Q5 TFSIe Sport utility vehicle: Small 2.0L + 105 kW 4 Cyl Auto-Manual 7-Gear,Sport utility vehicle: Small,105,2.0,4,AM7,B/Z*,3.6 ([32.2 kWh + 0.0 L]/100 km),32,2.4,Z,9.5,8.1,8.9,615,103,10,7,2020 Audi Q5 TFSIe Sport utility vehicle: Small 2.0L + 105 kW 4 Cyl Auto-Manual 7-Gear
3282,2020,Bentley,Bentayga Hybrid Sport utility vehicle: Standard 3.0L + 100 kW 6 Cyl Automatic 8-Gear,Sport utility vehicle: Standard,100,3.0,6,AS8,B/Z,5.2 ([44.2 kWh + 0.3 L]/100 km),29,3,Z,13.6,11.3,12.6,602,153,8,3,2020 Bentley Bentayga Hybrid Sport utility vehicle: Standard 3.0L + 100 kW 6 Cyl Automatic 8-Gear
3283,2020,BMW,530e Compact 2.0L + 83 kW 4 Cyl Automatic 8-Gear,Compact,83,2.0,4,AS8,B/Z*,3.4 ([29.1 kWh + 0.0 L]/100 km),34,3,Z,9.5,7.7,8.7,533,106,10,7,2020 BMW 530e Compact 2.0L + 83 kW 4 Cyl Automatic 8-Gear
3284,2020,BMW,530e xDrive Compact 2.0L + 83 kW 4 Cyl Automatic 8-Gear,Compact,83,2.0,4,AS8,B/Z*,3.6 ([32.2 kWh + 0.0 L]/100 km),31,3,Z,10.3,8.1,9.3,500,120,10,7,2020 BMW 530e xDrive Compact 2.0L + 83 kW 4 Cyl Automatic 8-Gear
3285,2020,BMW,745Le xDrive Full-size 3.0L + 83 kW 6 Cyl Automatic 8-Gear,Full-size,83,3.0,6,AS8,B/Z*,4.2 ([37.7 kWh + 0.0 L]/100 km),26,3,Z,12.2,9.1,10.8,435,152,8,3,2020 BMW 745Le xDrive Full-size 3.0L + 83 kW 6 Cyl Automatic 8-Gear
3286,2020,BMW,i3 REx (120 Ah) Subcompact 0.6L + 125 kW 2 Cyl Automatic 1-Gear,Subcompact,125,0.6,2,A1,B,2.4 (19.9 kWh/100 km),203,7,Z,7.8,7.5,7.7,116,14,10,7,2020 BMW i3 REx (120 Ah) Subcompact 0.6L + 125 kW 2 Cyl Automatic 1-Gear
3287,2020,BMW,i3s REx (120 Ah) Subcompact 0.6L + 135 kW 2 Cyl Automatic 1-Gear,Subcompact,135,0.6,2,A1,B,2.4 (19.9 kWh/100 km),203,7,Z,7.8,7.5,7.7,116,14,10,7,2020 BMW i3s REx (120 Ah) Subcompact 0.6L + 135 kW 2 Cyl Automatic 1-Gear
3288,2020,BMW,i8 Coupe Subcompact 1.5L + 105 kW 3 Cyl Automatic 6-Gear,Subcompact,105,1.5,3,AS6,B/Z*,3.4 ([30.6 kWh + 0.0 L]/100 km),29,3,Z,9.2,8.0,8.7,488,118,10,3,2020 BMW i8 Coupe Subcompact 1.5L + 105 kW 3 Cyl Automatic 6-Gear
3289,2020,BMW,i8 Roadster Two-seater 1.5L + 105 kW 3 Cyl Automatic 6-Gear,Two-seater,105,1.5,3,AS6,B/Z*,3.4 ([30.6 kWh + 0.0 L]/100 km),29,3,Z,9.2,8.0,8.7,488,118,10,3,2020 BMW i8 Roadster Two-seater 1.5L + 105 kW 3 Cyl Automatic 6-Gear
3290,2020,BMW,X3 xDrive30e Sport utility vehicle: Small 2.0L + 80 kW 4 Cyl Automatic 8-Gear,Sport utility vehicle: Small,80,2.0,4,AS8,B/Z*,3.9 ([35.0 kWh + 0.0 L]/100 km),29,3,Z,11.0,8.6,9.9,512,127,9,7,2020 BMW X3 xDrive30e Sport utility vehicle: Small 2.0L + 80 kW 4 Cyl Automatic 8-Gear
3291,2020,Chrysler,Pacifica Hybrid Minivan 3.6L + 89 kW 6 Cyl Automatic,Minivan,89,3.6,6,AV,B/X*,2.9 ([25.8 kWh + 0.0 L]/100 km),51,2,X,8.0,7.9,8.0,784,74,10,7,2020 Chrysler Pacifica Hybrid Minivan 3.6L + 89 kW 6 Cyl Automatic
3292,2020,Ford,Escape Plug-in Hybrid Sport utility vehicle: Small 2.5L + 62 kW 4 Cyl Automatic,Sport utility vehicle: Small,62,2.5,4,AV,B/X*,2.3 ([20.5 kWh + 0.0 L]/100 km),60,3.3,X,5.4,6.2,5.8,790,48,10,7,2020 Ford Escape Plug-in Hybrid Sport utility vehicle: Small 2.5L + 62 kW 4 Cyl Automatic
3293,2020,Ford,Fusion Energi Mid-size 2.0L + 35 kW 4 Cyl Automatic,Mid-size,35,2.0,4,AV,B/X*,2.3 ([20.5 kWh + 0.0 L]/100 km),42,2.6,X,5.5,5.8,5.6,940,61,10,7,2020 Ford Fusion Energi Mid-size 2.0L + 35 kW 4 Cyl Automatic
3294,2020,Honda,Clarity Plug-in Hybrid Mid-size 1.5L + 135 kW 4 Cyl Automatic,Mid-size,135,1.5,4,AV,B/X*,2.1 ([19.0 kWh + 0.0 L]/100 km),77,2.5,X,5.3,5.9,5.6,475,36,10,8,2020 Honda Clarity Plug-in Hybrid Mid-size 1.5L + 135 kW 4 Cyl Automatic
3295,2020,Hyundai,IONIQ Electric Plus Mid-size 1.6L + 45 kW 4 Cyl Auto-Manual 6-Gear,Mid-size,45,1.6,4,AM6,B/X*,2.0 ([17.7 kWh + 0.0 L]/100 km),47,2.3,X,4.4,4.6,4.5,961,46,10,7,2020 Hyundai IONIQ Electric Plus Mid-size 1.6L + 45 kW 4 Cyl Auto-Manual 6-Gear
3296,2020,Kia,Niro Plug-in Hybrid Station wagon: Small 1.6L + 45 kW 4 Cyl Auto-Manual 6-Gear,Station wagon: Small,45,1.6,4,AM6,B/X*,2.2 ([19.7 kWh + 0.0 L]/100 km),42,2.25,X,4.9,5.3,5.1,853,56,10,7,2020 Kia Niro Plug-in Hybrid Station wagon: Small 1.6L + 45 kW 4 Cyl Auto-Manual 6-Gear
3297,2020,Kia,Optima Plug-in Hybrid Mid-size 2.0L + 50 kW 4 Cyl Auto-Manual 6-Gear,Mid-size,50,2.0,4,AM6,B/X*,2.3 ([20.7 kWh + 0.0 L]/100 km),45,2.7,X,6.0,5.3,5.7,962,60,10,7,2020 Kia Optima Plug-in Hybrid Mid-size 2.0L + 50 kW 4 Cyl Auto-Manual 6-Gear
3298,2020,Lincoln,Aviator Grand Touring Sport utility vehicle: Standard 3.0L + 62 kW 6 Cyl Automatic 10-Gear,Sport utility vehicle: Standard,62,3.0,6,AS10,B/X*,4.2 ([37.5 kWh + 0.0 L]/100 km),34,3.5,X,10.9,9.6,10.3,713,130,9,7,2020 Lincoln Aviator Grand Touring Sport utility vehicle: Standard 3.0L + 62 kW 6 Cyl Automatic 10-Gear
3299,2020,Mercedes-Benz,GLC 350e 4MATIC Sport utility vehicle: Small 2.0L + 90 kW 4 Cyl Automatic 9-Gear,Sport utility vehicle: Small,90,2.0,4,A9,B/Z*,3.4 ([30.8 kWh + 0.0 L]/100 km),35,1.3,Z,10.2,8.4,9.4,538,109,10,5,2020 Mercedes-Benz GLC 350e 4MATIC Sport utility vehicle: Small 2.0L + 90 kW 4 Cyl Automatic 9-Gear
3300,2020,Mercedes-Benz,S 560e Full-size 3.0L + 90 kW 6 Cyl Automatic 9-Gear,Full-size,90,3.0,6,A9,B/Z*,3.7 ([32.7 kWh + 0.0 L]/100 km),31,1.3,Z,11.4,9.0,10.3,785,127,9,3,2020 Mercedes-Benz S 560e Full-size 3.0L + 90 kW 6 Cyl Automatic 9-Gear
